opponent,colgateScore,oppScore,location,win
Army,38,56,Away,0
Bucknell,34,51,Home,0
Lehigh,70,66,Away,1
Boston University,61,49,Away,1
Navy,62,54,Home,1
Lafayette,72,56,Home,1
Bucknell,67,71,Away,0
American,85,43,Home,1
Army,60,65,Home,0
Lafayette,75,44,Away,1
Loyola,74,59,Away,1
Holy Cross,73,51,Home,1
Boston University,71,51,Home,1
Navy,76,72,Away,1
Loyola,68,57,Home,0
Holy Cross,55,59,Away,0
American,83,64,Away,1
Lehigh,78,59,Home,1
Bucknell,58,63,Home,0
Loyola,73,65,Away,1
Navy,73,56,Home,1
Lafayette,58,46,Away,1
Bucknell,71,46,Home,1
Army,49,52,Home,0
Boston University,66,73,Away,0
Lehigh,61,79,Home,0
American,54,56,Home,0
Army,52,55,Away,0
Navy,58,59,Away,0
Loyola,61,64,Home,0
Holy Cross,60,43,Away,1
Bucknell,59,55,Away,1
Lafayette,75,49,Home,1
American,72,60,Away,1
Holy Cross,86,79,Home,1
Lehigh,47,55,Away,0
Boston University,77,40,Home,1
Navy,69,64,Home,1
Boston University,40,52,Home,0
Loyola,56,61,Home,0
Lehigh,69,59,Home,1
Navy,64,34,Away,1
Army,65,52,Home,1
Boston University,51,72,Away,0
Bucknell,64,57,Away,1
Holy Cross,49,59,Home,0
American,57,59,Away,0
Boston University,44,58,Home,0
Lafayette,45,53,Away,0
American,52,48,Home,1
Lehigh,63,51,Away,1
Bucknell,44,50,Home,0
Army,47,50,Away,0
Holy Cross,60,56,Away,1
Lafayette,71,52,Home,1
Navy,53,47,Home,1
Loyola,64,50,Away,1
Army,50,55,Home,0
Lafayette,37,59,Home,0
Lehigh,52,72,Home,0
American,52,66,Away,0
Army,63,66,Away,0
Navy,62,65,Home,0
Holy Cross,57,62,Away,0
Bucknell,41,61,Home,0
Lafayette,49,47,Away,1
Loyola,61,62,Away,0
Boston University,45,59,Home,0
American,74,60,Home,1
Lehigh,56,72,Away,0
Loyola,68,53,Home,1
Army,38,51,Home,0
Boston University,64,61,Away,1
Holy Cross,55,62,Home,0
Navy,48,52,Away,0
Bucknell,59,91,Away,0
Navy,55,60,Away,0
Army,87,76,Away,1
Army,53,72,Away,0
Boston University,51,79,Home,0
Boston University,58,62,Home,0
Holy Cross,48,77,Away,0
Holy Cross,62,63,Away,0
Army,53,79,Home,0
Army,45,79,Home,0
Holy Cross,40,61,Home,0
American,61,63,Away,0
Army,100,93,Home,1
Loyola,76,74,Away,1
Navy,80,55,Home,1
Lafayette,73,52,Home,1
Boston University,70,61,Away,1
Bucknell,43,66,Away,0
American,63,62,Home,1
Lafayette,39,55,Away,0
Holy Cross,71,60,Home,1
Navy,65,53,Away,1
Boston University,58,60,Home,0
Loyola,79,70,Home,1
Lehigh,82,73,Away,1
Holy Cross,80,69,Away,1
Bucknell,65,76,Home,0
Army,67,81,Away,0
Lehigh,70,86,Home,0
Lehigh,62,69,Home,0
Holy Cross,70,67,Away,1
American,57,76,Away,0
Lafayette,60,49,Home,1
Navy,49,62,Home,0
Boston University,81,72,Away,1
Bucknell,62,90,Home,0
Lehigh,58,86,Away,0
Loyola,73,64,Home,1
Army,70,58,Away,1
American,66,71,Home,0
Navy,52,67,Away,0
Boston University,53,61,Home,0
Bucknell,58,76,Away,0
Lehigh,63,75,Home,0
Loyola,58,47,Away,1
Army,85,80,Home,1
Holy Cross,67,80,Home,0
Lafayette,77,67,Away,1
Lehigh,68,78,Away,0
Holy Cross,64,71,Home,0
American,55,77,Home,0
Lafayette,48,63,Away,0
Navy,54,70,Away,0
Boston University,49,62,Home,0
Bucknell,57,77,Away,0
Lehigh,51,59,Home,0
Loyola,55,70,Away,0
Army,54,62,Home,0
American,44,67,Away,0
Navy,42,69,Home,0
Boston University,64,66,Away,0
Bucknell,42,63,Home,0
Lehigh,54,48,Away,1
Loyola,71,60,Home,1
Army,49,69,Away,0
Holy Cross,52,61,Away,0
Lafayette,60,55,Home,1
Holy Cross,47,66,Away,0
Lafayette,76,69,Home,1
American,57,68,Away,0
Holy Cross,62,54,Away,1
Navy,67,80,Home,0
Army,69,76,Home,0
Bucknell,56,79,Away,0
Boston University,96,87,Home,1
Loyola,77,87,Away,0
American,62,73,Home,0
Holy Cross,70,52,Home,1
Navy,69,61,Away,1
Army,47,57,Away,0
Bucknell,49,79,Home,0
Boston University,51,65,Away,0
Loyola,76,62,Home,1
Lehigh,75,70,Home,1
Lafayette,85,90,Away,0
Lehigh,74,83,Away,0
Army,76,83,Away,0
American,37,49,Home,0
Holy Cross,71,80,Home,0
Navy,41,51,Away,0
Army,55,67,Away,0
Bucknell,51,71,Home,0
Boston University,72,63,Away,1
Loyola,49,65,Home,0
American,56,64,Away,0
Holy Cross,61,70,Away,0
Navy,58,62,Home,0
Army,55,78,Home,0
Bucknell,60,79,Away,0
Boston University,58,71,Home,0
Loyola,38,55,Away,0
Lehigh,74,83,Away,0
Lafayette,70,55,Home,1
Lehigh,82,72,Home,1
Lafayette,80,68,Home,1
Army,62,89,Away,0